,Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,MonthlyIncome,MonthlyRate,PercentSalaryHike,RelationshipSatisfaction,PerformanceRating,WorkLifeBalance,YearsInCurrentRole,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime,Attrition
14,28,Yes,24,3,3,2,2028,12947,14,2,3,3,2,4,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
15,29,No,21,4,2,4,9980,10195,11,3,3,3,9,10,8,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
16,32,No,5,2,1,4,3298,15053,12,4,3,2,2,6,0,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
17,22,No,16,2,4,4,2935,7324,13,2,3,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
18,53,No,2,4,1,2,15427,22021,16,3,3,3,8,25,3,7,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
19,38,No,2,3,4,3,3944,4306,11,3,3,3,2,3,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
20,24,No,11,2,1,4,4011,8232,18,4,3,2,2,4,1,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21,36,Yes,9,4,3,2,3407,6986,23,2,4,3,3,5,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
22,34,No,7,4,1,3,11994,21293,11,3,3,3,6,12,2,11,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23,21,No,15,2,3,3,1232,19281,14,4,3,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
24,34,Yes,6,1,2,3,2960,17102,11,3,3,3,2,4,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
25,53,No,5,3,3,3,19094,10735,11,4,3,2,13,14,4,8,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
26,32,Yes,16,1,2,1,3919,4681,22,2,4,3,2,10,6,7,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
27,42,No,8,4,3,3,6825,21173,11,4,3,3,7,9,4,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
28,44,No,7,4,1,2,10248,2094,14,4,3,3,6,22,5,17,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
29,46,No,2,4,2,3,18947,22822,12,4,3,2,2,2,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30,33,No,2,3,3,3,2496,6670,11,4,3,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31,44,No,10,4,4,3,6465,19121,13,4,3,4,2,4,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
32,30,No,9,2,4,2,2206,16117,13,1,3,3,0,10,1,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
33,39,Yes,5,3,4,3,2086,3335,14,3,3,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
34,24,Yes,1,3,2,3,2293,3020,16,1,3,2,0,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1
35,43,No,2,2,4,4,2645,21923,12,4,3,2,3,5,1,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
36,50,Yes,3,2,1,2,2683,3810,14,3,3,3,2,3,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
37,35,No,2,3,4,3,2014,9687,13,1,3,3,2,2,2,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
38,36,No,5,4,2,2,3419,13072,14,4,3,4,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
39,33,No,1,3,3,4,5376,3193,19,1,3,3,3,5,1,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40,35,No,4,2,3,3,1951,10910,12,3,3,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
41,27,No,2,4,4,3,2341,19715,13,4,3,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
42,26,Yes,25,3,1,1,2293,10558,12,3,3,2,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
43,27,No,8,3,4,3,8726,2975,15,4,3,3,8,9,1,7,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
44,30,No,1,2,3,3,4011,10781,23,4,4,3,8,12,3,7,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45,41,Yes,12,3,2,3,19545,16280,12,4,3,3,15,22,15,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
46,34,No,23,4,2,3,4568,10034,20,3,4,3,5,9,8,7,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
47,37,No,19,2,2,3,3022,10227,21,1,4,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
48,46,No,5,4,1,3,5772,20445,21,3,4,3,6,9,0,8,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
49,35,No,8,1,4,4,2269,4892,19,4,3,3,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
50,48,Yes,1,2,1,2,5381,19294,13,4,3,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
51,28,Yes,5,4,3,3,3441,11179,13,3,3,2,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
52,44,No,1,5,2,3,5454,4009,21,3,4,2,3,4,1,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
53,35,No,11,2,3,2,9884,8302,13,3,3,3,0,4,2,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
54,26,No,23,3,3,2,4157,21436,19,3,3,2,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
55,33,No,1,2,1,3,13458,15146,12,3,3,3,14,15,8,12,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
56,35,No,18,5,2,3,9069,11031,22,4,4,2,8,9,1,8,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
57,35,No,23,4,3,3,4014,16002,15,3,3,3,2,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
58,31,No,7,4,4,3,5915,9528,22,4,4,2,7,7,1,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
59,37,No,1,4,1,2,5993,2689,18,3,3,4,5,7,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
60,32,No,1,3,1,3,6162,10877,22,2,4,3,8,9,7,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
61,38,No,29,5,4,3,2406,5456,11,4,3,3,3,10,9,9,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
62,50,No,7,2,2,2,18740,16701,12,4,3,2,3,27,13,8,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
63,59,No,25,3,1,3,7637,2354,11,4,3,2,16,21,7,9,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
64,36,No,8,3,3,3,10096,8202,13,2,3,3,14,17,12,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
65,55,No,8,3,4,3,14756,19730,14,3,3,3,0,5,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
66,36,No,11,3,2,2,6499,22656,13,3,3,3,5,6,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
67,45,No,7,3,2,3,9724,18787,17,3,3,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
68,35,No,1,3,2,3,2194,5868,13,4,3,2,2,3,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
69,36,Yes,9,3,4,2,3388,21777,17,1,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1
70,59,No,1,1,1,2,5473,24668,11,4,3,2,3,4,1,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
71,29,No,2,3,3,3,2703,4956,23,4,4,3,4,5,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
72,31,No,1,4,3,3,2501,18775,17,2,3,3,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
73,32,No,1,3,2,3,6220,7346,17,2,3,3,4,10,0,9,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
74,36,No,6,3,2,4,3038,22002,12,2,3,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
75,31,No,8,4,3,3,4424,20682,23,4,4,3,7,11,1,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
76,35,No,1,4,3,2,4312,23016,14,2,3,3,13,15,2,8,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
77,45,No,6,4,4,3,13245,15067,14,2,3,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
78,37,No,7,4,1,3,13664,25258,13,1,3,4,2,5,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
79,46,No,5,2,2,3,5021,10425,22,4,4,3,2,4,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
80,30,No,1,1,4,2,5126,15998,12,3,3,2,8,10,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
81,35,No,1,3,2,2,2859,26278,18,1,3,3,4,6,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
82,55,No,1,2,1,3,10239,18092,14,4,3,3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
83,38,No,6,3,2,1,5329,15717,12,4,3,3,11,13,1,9,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
84,34,No,1,2,1,3,4325,17736,15,3,3,3,2,5,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
85,56,No,7,3,4,1,7260,21698,11,1,3,2,4,6,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
86,23,No,2,1,3,3,2322,9518,13,3,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
87,51,No,9,4,4,3,2075,18725,23,2,4,3,2,4,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
88,30,No,2,3,3,2,4152,15830,19,1,3,3,10,11,10,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
89,46,Yes,9,2,3,2,9619,13596,16,4,3,3,8,9,4,7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
90,40,No,1,4,3,2,13503,14115,22,4,4,2,3,22,11,11,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
91,51,No,21,4,3,3,5441,8423,22,4,4,1,7,10,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
92,30,No,4,2,3,2,5209,19760,12,2,3,2,8,11,2,7,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
93,46,No,1,3,3,2,10673,3142,13,3,3,2,9,10,9,5,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
94,32,No,6,4,2,3,5010,24301,16,1,3,3,8,11,5,7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
95,54,No,2,4,1,3,13549,24001,12,1,3,1,3,4,0,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
96,24,No,3,2,1,3,4999,17519,21,1,4,2,2,3,0,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
97,28,No,4,3,2,3,4221,8863,15,2,3,4,4,5,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
98,58,No,10,4,4,3,13872,24409,13,3,3,2,10,37,1,8,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
99,44,No,23,3,2,3,2042,25043,12,3,3,4,2,3,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
100,37,Yes,6,4,3,3,2073,23648,22,4,4,3,2,3,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
101,32,No,1,1,4,3,2956,15178,13,4,3,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
102,20,Yes,6,3,4,2,2926,19783,18,2,3,3,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
103,34,No,6,4,1,3,4809,12482,14,3,3,3,13,16,2,10,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
104,37,No,2,2,3,2,5163,15850,14,4,3,4,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
105,59,No,2,4,3,2,18844,21922,21,4,4,3,2,3,2,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
106,50,No,1,3,1,3,18172,9755,19,1,3,2,3,8,0,7,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
107,25,Yes,5,3,3,2,5744,26959,11,4,3,3,4,6,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1
108,25,No,7,1,4,2,2889,26897,11,3,3,3,2,2,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
109,22,No,15,3,2,3,2871,23785,15,3,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
110,51,No,1,4,1,2,7484,25796,20,3,4,2,12,13,12,8,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
111,34,Yes,7,3,1,1,6074,22887,24,4,4,3,7,9,0,6,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
112,54,No,26,3,4,4,17328,13871,12,3,3,3,3,5,4,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
113,24,No,18,1,2,3,2774,13257,12,3,3,3,3,5,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
114,34,No,6,4,3,2,4505,15000,15,3,3,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
115,37,No,3,3,3,3,7428,14506,12,1,3,3,3,5,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
116,34,No,5,3,3,2,11631,5615,12,4,3,3,10,11,5,8,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
117,36,No,11,2,2,3,9738,22952,14,3,3,3,7,9,2,8,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
118,36,No,3,2,1,3,2835,2561,22,1,4,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
119,43,No,26,2,3,3,16959,19494,12,4,3,4,12,25,4,12,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
120,30,No,23,3,1,1,2613,22310,25,3,4,2,7,10,0,9,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
121,33,No,22,2,3,3,6146,15480,13,1,3,4,7,7,0,7,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
122,56,Yes,14,4,2,3,4963,4510,18,1,3,3,4,5,4,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
123,51,No,6,3,1,3,19537,6462,13,3,3,3,18,20,15,15,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
124,31,Yes,6,4,2,1,6172,20739,18,2,3,2,7,7,7,7,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
125,26,No,6,3,3,2,2368,23300,19,3,3,2,4,5,4,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
126,58,Yes,23,4,4,3,10312,3465,12,4,3,2,10,40,15,6,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
127,19,Yes,22,1,4,3,1675,26820,19,4,3,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
128,22,No,2,1,3,3,2523,19299,14,3,3,3,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
129,49,No,20,4,3,3,6567,5549,14,3,3,2,11,15,5,11,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
130,43,No,28,3,2,4,4739,16090,12,4,3,3,2,3,1,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
131,50,No,12,3,3,3,9208,6645,11,4,3,3,2,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
132,31,Yes,20,3,2,1,4559,24788,11,3,3,3,2,2,2,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
133,41,No,9,1,3,3,8189,21196,13,3,3,3,7,9,0,7,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
134,26,No,25,1,3,3,2942,8916,23,4,4,3,7,8,5,7,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
135,36,No,6,2,2,3,4941,2819,20,4,4,3,2,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
136,51,Yes,8,4,1,1,10650,25150,15,4,3,3,2,4,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
137,39,No,4,4,4,2,5902,14590,14,3,3,4,11,15,5,9,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
138,25,No,28,3,1,2,8639,24835,18,4,3,3,2,2,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
139,30,No,9,3,3,3,6347,13982,19,4,3,1,9,11,4,7,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
140,32,Yes,9,3,1,3,4200,10224,22,1,4,4,4,5,0,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
